fid,geoc_maj,etage,ty_couv_et,densite,hauteur,cl_age_et,eta_ess_pc
"72","-580714,27+244849,88",SUP,MM,"55","21",JIN,SB50CR20EO20BP10
"73","-580716,59+251016,00",SUP,MM,"75","18",VIN,TO40SB10EO30BP10PE10
"74","-580718,30+248359,36",SUP,F,"75","20",JIN,PE40TA20EO10ES10FT10RX10
"75","-580720,60+240567,66",SUP,F,"85","26",VIN,PE40TA20EO10ES10SB20
"76","-580725,01+245822,28",SUP,F,"95","20",JIN,ES40BP20FT20TA10SB10
"77","-580728,46+247880,26",SUP,R,"65","13","50",SB70RX10FO10FX10
"78","-580761,03+253013,87",SUP,F,"85","22",JIN,ES40CR20PE20TA10RX10
"79","-580763,80+245094,17",SUP,F,"75","19",JIN,EO30ES20FT20TA10SB10TO10
"80","-580783,01+253670,17",SUP,MR,"25","16",JIN,SB50PB10RX10PE20FX10
"81","-580797,80+244574,63",SUP,F,"75","25",VIN,ES30FT20PE20BP10TA10TO10
"82","-580798,25+250290,92",SUP,MM,"55","18",JIN,PU20PB10SE10TO10ER20PE20FT10
"83","-580810,23+251772,31",SUP,MF,"65","15",JIN,ER20FT20PE20BP10SB20PB10
"84","-580815,20+243534,69",SUP,MR,"45","17",JIN,SB30EB20TO10BP20EO10TA10
"85","-580832,18+251556,33",SUP,MR,"55","14","50",SB40EB10PB10RX10EO10FT10PE10
"86","-580840,44+253251,95",SUP,MM,"55","19",JIN,SB30PB10RX10PE30ER10FT10
"87","-580840,97+247175,10",SUP,R,"45","15",JIN,SB80EB10PI10
"88","-580843,51+249358,75",SUP,R,"45","13",JIN,EB50SB20PB10FI10FX10
"89","-580843,82+250502,37",SUP,F,"85","20",JIN,ES30FT20CR10EO10PE10PU10RX10
"90","-580848,86+247879,47",SUP,F,"95","18",JIN,ES30CR20FT20PE10PB10SE10
"91","-580850,84+247510,76",SUP,MF,,"3","10",FXRX
"92","-580873,58+245741,95",SUP,F,"85","19",JIN,ES50FT30PB10RX10
"93","-580877,55+248956,26",SUP,F,"75","24","90",PE40EO20FT20TA10SE10
"94","-580892,26+252808,87",SUP,MR,"35","16",JIN,SB40PB10RX10PE20BP10EO10
"95","-580911,80+246719,34",SUP,MR,"75","14",JIN,SB40PB20PE20BP10EO10
"96","-580939,13+249909,21",SUP,R,"65","16",JIN,SB40PB20TO20EO10PE10
"97","-580945,69+248147,87",SUP,F,"75","14",JIN,CR50ER20FT20RX10
"98","-580946,01+244388,07",SUP,F,"95","18",JIN,EO30FO20PE20TA20BP10
"99","-580951,65+251020,33",SUP,F,"95","10","10",PE80EO10RX10
"100","-580962,58+242368,66",SUP,R,"75","13",VIN,TO90ML10
"101","-580962,73+244121,04",SUP,R,"55","17",JIN,SB30TO30EB20BP10EO10
"102","-580995,15+249203,23",SUP,F,"85","21",JIN,CR30ES30TA20FT10PE10
"103","-581001,45+244253,81",SUP,MF,"75","19",JIN,PE30EO20BP10FO10TO20SB10
"104","-581002,95+245832,48",SUP,R,"55","17","50",EB30PB30SB10TO10EO10PE10
"105","-581008,59+249429,67",SUP,MF,"95","19",JIN,CR20ES20PE20FT10TO20SE10
"106","-581010,19+248890,46",SUP,MF,"95","21",JIN,CR20ER20PE20TA10PU20PI10
"107","-581019,19+250832,47",SUP,MF,"55","17",JIN,PE40EO20BP10RX10SB10TO10
"108","-581037,32+251136,04",SUP,R,"45","7","10",SB80EO10FI10
"109","-581043,55+248478,65",SUP,F,"95","18",JIN,CR40FT20ER10PE10PB10RX10
"110","-581045,10+244922,00",SUP,MM,"65","18",JIN,TO30SB20BP20ES20EO10
"111","-581045,29+252939,49",SUP,F,"65","18",JIN,FO50BJ20PE10SB10TO10
"112","-581064,69+241385,30",SUP,F,"95","19",JIN,ES40TA20BP10PE10RX10SB10
"113","-581077,24+242551,86",SUP,MR,"55","15",VIN,TO60PE20BP10FO10
"114","-581106,34+249789,21",SUP,MM,"75","17",VIN,TO30SB20PE30EO10FO10
"115","-581120,04+241899,53",SUP,MR,"45","15",JIN,SB30TO30BP20PE20
"116","-581121,46+245974,32",SUP,R,"25","13","50",EB40PB30SB20FX10
"117","-581130,34+247300,00",SUP,MM,"55","19",VIN,PR20SB20RX10BJ20PE20FT10
"118","-581154,41+240777,30",SUP,MM,"55","19",VIN,TO50PE30EO20
"119","-581161,11+247919,55",SUP,R,"85","15","30",RZ100
"120","-581161,81+242676,95",SUP,MF,"35","15",JIN,ES30BP10EO10FT10TO20RX10SB10
"121","-581164,10+251490,95",SUP,F,,"2","10",FXFN
"122","-581173,54+250991,73",SUP,MR,"45","6","10",RX70FX30
"123","-581176,62+239382,91",SUP,F,"85","21",JIN,CR30EO30PE20FT10RX10
"124","-581179,10+247531,20",SUP,MM,"55","19",VIN,PR20SB20RX10BJ20PE20FT10
"125","-581200,93+241032,61",SUP,MF,"95","15",JIN,FO50PE20TO20RX10
"126","-581206,28+242938,42",SUP,MF,"45","23",VIN,ES40FT20PE10TO30
"127","-581206,84+246442,69",SUP,MR,"45","12","30",SB40EB20TO10BP10FT10PE10
"128","-581211,27+249632,17",SUP,F,"95","22",JIN,ES30BJ20PE20FT10TA10PU10
"129","-581226,26+248399,17",SUP,F,"95","17",JIN,CR40ER20FT10PE10TA10PB10
"130","-581229,82+249386,47",SUP,MM,"95","20",JIN,PU40SB10CR30FT20
"131","-581233,31+241683,58",SUP,MR,"55","22",JIN,TO50SB10EO20PE20
"132","-581241,94+253360,18",SUP,MM,"95","20",JIN,PU40PB10ER20BP10FT10PE10
"133","-581268,82+243110,08",SUP,R,"95","12",VIN,TO50EN20SB20FO10
"134","-581269,96+251988,18",SUP,F,,"3","10",FXFN
"135","-581271,09+246027,30",SUP,MF,"65","13","50",EO30FT20BP10PE10PU10SB10TO10
"136","-581271,97+250627,92",SUP,F,"65","16",JIN,ES40FT20CR10TA10RX10SB10
"137","-581291,33+250021,09",SUP,F,"45","13",JIN,PE40BP20FH20RX10SB10
"138","-581301,77+249198,37",SUP,MF,"95","21",JIN,CR20ER20PE20TA10PU20PI10
"139","-581316,05+237817,04",SUP,R,"55","17",JIN,EB60SB20EO10PE10
"140","-581322,20+253574,47",SUP,MM,"95","20",JIN,PU40PB10ER20BP10FT10PE10
"141","-581326,10+242074,89",SUP,F,"55","22",JIN,ES30PE30EO20FT10SB10
"142","-581331,57+240191,44",SUP,MM,"55","26",VIN,PB40SB10PE20EO10ES10FT10
"143","-581351,95+251379,92",SUP,F,"25","16","70",FH100
"144","-581357,03+242215,49",SUP,MF,"55","5","10",FX70RX30
"145","-581358,11+250510,46",SUP,MM,"45","15",JIN,SB30RX10TO10ER20PE20FT10
"146","-581361,15+239733,73",SUP,MR,"85","15",VIN,TO50PI10SB10PE20FO10
"147","-581365,60+246644,26",SUP,MF,"65","20","70",PE70SB30
"148","-581372,97+241527,02",SUP,F,"35","13","30",PE40FO30BP20RX10
"149","-581374,07+238798,68",SUP,F,"65","14",JIN,PE30ES20BP10EO10FT10RX10SB10
"150","-581379,70+241182,38",SUP,MM,"55","16",JIN,TO40SB10BP20PE20FH10
"151","-581382,49+244105,95",SUP,MF,"55","17",JIN,PE40BP10FO10EB20SB20
"152","-581385,61+248015,20",SUP,R,"35","13","50",RZ100
"153","-581386,18+253017,21",INF,F,"45","17",JIN,ES70FT20SE10
"154","-581386,18+253017,21",SUP,F,"45","26","90",PE90FT10
"155","-581391,35+243493,53",SUP,F,"85","21",JIN,ER40PE30FT10SB20
"156","-581392,07+248884,02",SUP,MF,"95","21",JIN,CR30FT20PE10PB30PU10
"157","-581397,45+238681,74",SUP,MR,"65","17",JIN,SB60EB10BP20EO10
"158","-581398,88+236465,36",SUP,MF,"75","21",JIN,BP40FT20EB20SB20
"159","-581401,52+239508,16",SUP,F,"55","23",VIN,PE40EO20FT20ES10RX10
"160","-581402,38+244619,24",SUP,MF,"75","20",JIN,ER20FO20PE20BP10TO30
"161","-581404,59+244864,55",SUP,R,"45","13","50",TO50EB20SB20PE10
"162","-581406,09+247511,35",SUP,R,"65","17","50",PB60PI20SE10FX10
"163","-581415,56+248309,33",SUP,MR,"45","8","10",RZ60FZ40
"164","-581421,02+244292,90",SUP,F,"95","15",JIN,ES30EO20FT20PE10SB10TO10
"165","-581428,70+248154,78",SUP,R,"75","14","30",RZ100
"166","-581429,53+242852,37",SUP,F,"85","16","50",ES30PE30EO20BP10SB10
"167","-581439,68+245138,74",SUP,MR,"55","15","50",TO60PE20BP10EO10
"168","-581440,95+249258,35",SUP,MR,"95","15",JIN,PU50PI10CR20FT10PE10
"169","-581452,66+239222,75",SUP,MF,"75","17",JIN,BP30EO10ES10FT10PB30SB10
"170","-581453,72+239660,31",SUP,F,"55","26",VIN,PE40ES20EO10FT10PB10SB10
"171","-581458,30+239951,38",SUP,MR,"65","30","90",PB70PE20ER10
"172","-581460,56+238478,83",SUP,F,"75","24",VIN,PE40BP20ER10FT10EB10SB10
"173","-581470,82+247037,83",SUP,F,"55","18","50",FO80FH10RX10
"174","-581513,09+249933,81",SUP,MF,"95","20",JIN,ER20PE20TA20FT10TO20SE10
"175","-581526,69+253367,68",SUP,F,"85","14",JIN,CR40ES20FT20PU10RX10
"176","-581527,27+242944,50",SUP,R,"25","15",JIN,SB40TO30RX10ER10FI10
"177","-581528,06+241925,08",SUP,F,"45","18",JIN,ER40FT20BP10PE10SB20
"178","-581528,34+249519,95",SUP,F,"95","22",JIN,ES30BJ20PE20FT10TA10PU10
"179","-581533,27+236292,53",SUP,MF,"75","19",JIN,PE30FT20EO10ES10SB20EB10
"180","-581539,17+240543,33",SUP,R,"45","15",JIN,SB40TO30RX10ER10PE10
"181","-581540,23+250465,30",SUP,R,"75","16",JIN,TO30PU20SB20PI10FX10PE10
"182","-581545,20+242302,40",SUP,MR,"55","24",VIN,PB40SB20ER30PE10
"183","-581555,79+242148,24",SUP,F,"75","16",JIN,ES30PE30BP10EO10SB20
"184","-581570,28+244590,36",SUP,MR,"55","15","50",SB30TO20EB10PE30BP10
"185","-581581,67+248485,59",SUP,F,"95","24",JIN,ES20FT20PE20TA20PB10RX10
"186","-581583,85+240381,90",SUP,MR,"55","30",VIN,PB60PE30ER10
"187","-581586,08+248754,97",SUP,F,"95","20",JIN,CR30ER20PE20FT10PB10RX10
"188","-581595,67+239218,44",SUP,F,"95","14","30",PE50ER20FT20SB10
"189","-581601,02+242455,20",SUP,R,"55","16",JIN,TO50SB30RX10PE10
"190","-581633,20+244251,88",SUP,MR,"55","16",JIN,TO30EB20SB20BP20EO10
"191","-581635,38+249438,74",SUP,MR,"95","15",JIN,PU50PI10CR20FT10PE10
"192","-581640,57+236597,86",SUP,R,"55","21",JIN,EB40PB40SB10BP10
"193","-581646,81+243076,40",SUP,R,"55","15",VIN,SB50TO30ML10FO10
"194","-581653,07+240087,96",SUP,F,"95","17","90",CR30ES20FT20EO10PB20
"195","-581656,42+242400,33",SUP,MF,"45","5","10",FX60RX40
"196","-581662,70+239383,99",SUP,MF,"75","19",JIN,PE30ER20BP10FT10SE20PB10
"197","-581673,03+239069,27",SUP,F,"65","18",JIN,EO30BP20BJ10FT10PE10SB20
"198","-581677,48+249134,28",SUP,MF,"95","15",JIN,CR50FT20PB20RX10
"199","-581677,89+239731,15",SUP,MR,"45","18",JIN,SB30TO20PB10EO30PE10
"200","-581678,00+252510,48",SUP,MF,"45","11",JIN,FO70TO20SB10
"201","-581678,86+241702,56",SUP,F,"65","6","10",FX90RX10
"202","-581680,67+238483,25",SUP,F,"75","19",JIN,ES30CR20FT20EO10FI10HG10
"203","-581682,66+245702,50",SUP,MF,"75","17",JIN,BJ20ER20FH20FI10RX10SB10TO10
"204","-581690,93+253197,88",SUP,MF,"65","20",JIN,PE30ER20FT10TA10SE20RX10
"205","-581694,23+239941,98",SUP,MF,"75","23",VIN,ER30PE30CR10PB20TO10
"206","-581698,24+241247,17",SUP,F,"75","6","30",FN80FX20
"207","-581699,40+235106,44",SUP,MF,"95","18",JIN,CR30ES20EO10FX10PU20RX10
"208","-581707,43+250194,27",SUP,MF,"75","21","90",PE30EO20FT10TA10PU10SE10TO10
"209","-581707,48+238838,83",SUP,F,"75","17",JIN,PE40EO20BP10FT10SB20
"210","-581708,34+232963,99",SUP,F,"75","25",JIN,PE80FT10SE10
"211","-581714,17+249716,16",SUP,R,"85","17",VIN,TO40PU20PB10SE10FX10PE10
"212","-581714,39+236122,41",SUP,R,"45","11",JIN,EB60SB30FX10
"213","-581716,19+246979,25",SUP,MF,"45","22",VIN,EO20FH20PE20FT10SB20RX10
"214","-581719,16+234380,21",SUP,MR,"65","17",JIN,EB30SB30PE20BP10FT10
"215","-581725,05+238649,99",SUP,F,"85","16",JIN,ES40CR20FT20FI10TA10
"216","-581725,54+237909,21",SUP,F,"45","18",JIN,PE30EO20BP10ES10FN10FT10RX10
"217","-581730,09+247918,83",SUP,R,"55","13",JIN,RZ70PB20PR10
"218","-581733,07+246679,05",SUP,MF,"75","21","70",PE50EO20SE20PB10
"219","-581738,37+247383,81",SUP,MF,"65","18",JIN,FO40PE20EO10RX10SB10TO10
"220","-581748,73+249884,28",SUP,F,"85","20","70",FO60BJ10PE10TO20
"221","-581765,96+253435,85",SUP,MR,"85","17","90",PU60SE10FI20FT10
"222","-581772,33+246064,20",SUP,F,"55","16",JIN,EO40PE20BJ10FH10SB20
"223","-581777,10+236432,50",SUP,F,"65","25","70",PE80FT10SE10
"224","-581777,17+239353,14",SUP,MM,"25","15",JIN,EB20SB20TO10PE20BP10ER10FT10
"225","-581784,17+240517,71",INF,F,"65","16","90",CR80ER20
"226","-581784,17+240517,71",SUP,R,"35","25","90",PB100
"227","-581793,87+238364,69",SUP,F,"75","18",VIN,CR30ER30FI10FT10HG10PI10
"228","-581807,18+237327,06",SUP,F,"65","15",JIN,ER30PE30FT20BP10RX10
"229","-581807,43+233660,63",SUP,MR,"75","16",JIN,SB40EB20BP30FT10
"230","-581814,42+245164,40",SUP,MR,"55","15",JIN,TO40EB20PE20BP10FH10
"231","-581817,21+248770,89",SUP,F,"95","17",JIN,CR30ER20FT20PE10PB10PR10
"232","-581826,33+241515,50",SUP,R,"65","15","50",TO40EB20SB20PE20
"233","-581831,94+237541,48",SUP,F,"65","23",VIN,ES30FT30CR20TA20
"234","-581835,60+238695,92",SUP,F,"75","22",VIN,ES50CR20FT20HG10
"235","-581842,78+249132,82",SUP,MR,"75","19","90",PU30PI20SE10CR30FT10
"236","-581844,79+248147,52",SUP,MF,"55","17","50",PE60RZ40
"237","-581848,41+248228,19",SUP,R,"45","14","50",PG50EB20PB20PR10
"238","-581848,81+233803,64",SUP,F,"85","17",JIN,ES30BP20PE20BJ10SB20
"239","-581855,88+245671,85",SUP,MF,"75","14","50",FO30PE30EO10RX10SB10TO10
"240","-581856,84+236102,37",SUP,MF,"45","16",JIN,PE30BP10FN10FT10SB20EB10RX10
"241","-581862,61+244161,91",SUP,R,"65","17",VIN,TO40SB30EB10BP10EO10
"242","-581870,31+248446,64",SUP,R,"55","15","50",RZ70EB10PB10PR10
"243","-581875,42+249443,42",SUP,F,"95","15",JIN,CR40ES20FT20PE20
"244","-581875,68+233404,80",SUP,MF,"55","23",JIN,PE50BP10EB20PB10SB10
"245","-581887,66+240216,59",SUP,F,"75","24",VIN,PE40CR20ER20PB20
"246","-581888,66+240825,45",SUP,R,"85","26",VIN,PB40SB30PR20PE10
"247","-581888,77+242597,30",SUP,F,"85","18",VIN,FO70PE10TO20
"248","-581898,73+233977,84",SUP,F,"85","19",JIN,ES90FT10
"249","-581912,07+246259,78",SUP,MF,"85","13","50",FO30PE30EO10SB20EB10
"250","-581931,89+243525,32",SUP,MM,"55","19",JIN,SB30RX10TO10ER30BP10PE10
"251","-581933,49+246434,09",SUP,MF,"75","20",JIN,PE50EO20SB20RX10
"252","-581938,84+249733,30",SUP,F,"75","23",JIN,PE30CR20ER20FT20RX10
"253","-581948,70+245969,16",SUP,R,"75","17","120",TO80EN20
"254","-581954,89+237531,87",SUP,R,"45","13",JIN,SB50EB30TO20
"255","-581955,44+253482,13",SUP,F,"85","20",JIN,BJ30FO30PE10TA10SE10TO10
"256","-581958,49+234273,19",SUP,MF,"65","18",JIN,ES40BP10FT10PE10SB20EB10
"257","-581964,27+240014,01",INF,MF,"55","10",JIN,ER30PE30FO10SB20EB10
"258","-581964,27+240014,01",SUP,F,"25","25","90",PE60ER40
"259","-581968,47+242140,77",SUP,MR,"35","13",JIN,SB30TO30FO30BP10
"260","-581975,82+238640,54",SUP,MF,"65","18",VIN,CR30ES30FT10PB20SE10
"261","-581976,87+232210,33",SUP,F,"75","23",JIN,ES40TA20EO10FI10FR10FT10
"262","-581980,30+249031,90",SUP,MM,"95","18",JIN,PU30PI10SE10CR20PE20FT10
"263","-581983,53+250131,01",SUP,R,"85","17","50",RZ100
"264","-581986,60+251633,74",SUP,R,"65","14","50",TO80SE10FX10
"265","-581986,87+239568,93",SUP,MF,"65","20",VIN,FH30PE30BP10SB30
"266","-581987,03+248651,31",SUP,F,"95","23",JIN,PE30CR20ER20TA20PI10
"267","-582004,38+240379,08",SUP,F,"95","14","70",FO70EO10TO20
"268","-582024,59+250240,57",SUP,R,"45","16","50",EB60RX10SB10EO10FI10
"269","-582025,09+245545,13",SUP,R,"55","16",VIN,TO50SB20RX10FH10FI10
"270","-582026,14+242529,48",SUP,MF,"55","16",VIN,FO30EO20FI10TO40
"271","-582029,85+234052,42",SUP,MF,"75","17",JIN,EO30FT20ES10PU30SE10
"272","-582033,58+246075,60",SUP,MF,"45","14",JIN,FH50PE20TO20SB10
"273","-582035,35+242919,96",SUP,MF,"65","4","10",FX70RX30
"274","-582037,59+240747,41",SUP,MR,"75","25",VIN,PB60SB10PE30
"275","-582055,40+241230,88",SUP,R,"65","16",JIN,TO50PB40SB10
"276","-582061,65+233722,32",SUP,MR,"75","16",JIN,SB40EB20BP30FT10
"277","-582072,14+233590,35",SUP,F,"85","18",JIN,FO50BJ10FH10FI10SE20
"278","-582073,26+235987,19",SUP,F,"75","19","30",PE80EO10FH10
"279","-582078,06+253313,95",SUP,MF,"85","17",JIN,ES20FT20CR10PE10PU30PI10
"280","-582082,41+231539,80",SUP,F,"95","23",JIN,ES40PE30FR10FT10TA10
"281","-582084,58+250611,41",SUP,MR,"25","13","30",PB20SB20TO20EB10FO20FX10
"282","-582089,19+241851,55",SUP,MF,"85","23",JIN,PE40BP10FO10SB30EB10
"283","-582092,07+230111,17",SUP,F,"75","18",JIN,ES40PE20BP10FT10HG10TA10
"284","-582113,79+237801,73",SUP,MR,"35","13","30",SB50EB20ER20FX10
"285","-582127,42+229659,01",SUP,F,"85","20",JIN,CR60ES10FT10PE10TA10
"286","-582128,22+241418,69",SUP,MM,"65","23",VIN,PB20SB20TO10PE30BP10EO10
"287","-582129,28+249337,45",SUP,F,,"2","10",FXFN
"288","-582135,97+246145,99",SUP,F,"95","4","10",FX100
"289","-582136,60+249962,94",SUP,R,"25","10","10",EB80SB20
"290","-582141,87+230622,55",SUP,F,"95","21",JIN,CR90FT10
"291","-582150,44+249688,62",SUP,MF,"65","22","90",PE40FO20EO10PB10SE10TO10
"292","-582151,58+236121,97",SUP,MF,"25","16",JIN,PE30BP10EO10FT10SB30EB10
"293","-582154,86+239819,93",SUP,F,"95","21",JIN,ES30CR20PE20EO10FT10RX10
"294","-582155,88+242748,98",SUP,MR,"95","15",VIN,TO70FO30
"295","-582156,51+240834,21",SUP,MM,"85","22",VIN,PB40RX10PE40ER10
"296","-582159,91+234025,31",SUP,MF,"85","18",JIN,ES30FT20BJ10FI10PB10RX10SE10
"297","-582165,35+229330,59",SUP,F,"85","18",JIN,ES30CR20FT20FI10FR10TA10
"298","-582174,11+247044,22",SUP,F,"75","20",JIN,ES40PE30FT20RX10
"299","-582179,79+237877,55",SUP,F,"75","23",VIN,ES40CR20FT20TA20
"300","-582180,50+234651,98",SUP,MF,"75","18",JIN,BJ20BP10ER10FT10PE10SB30EB10
"301","-582181,59+242302,52",SUP,MF,"75","19",JIN,PE40EO20BP10SB20TO10
"302","-582192,81+249280,67",SUP,MR,"45","14",JIN,SB30EB20TO20PE20EO10
"303","-582196,08+230759,15",SUP,F,"55","21",JIN,ES60BP10FR10PE10TA10
"304","-582197,28+240406,48",SUP,MF,"65","28",VIN,PE40ER30SB20PB10
"305","-582200,93+232088,03",SUP,F,"55","17",JIN,EO40BJ20ES10FI10FT10TA10
"306","-582202,44+231308,63",SUP,F,"95","24",VIN,CR40ES30FI10FR10TA10
"307","-582204,81+231673,03",SUP,MR,"75","19",JIN,EB30SB30BP10ER10FR10PE10
"308","-582211,93+252888,64",SUP,MF,"95","16",JIN,CR20ER20FI10FT10PU20RX10TO10
"309","-582218,11+241780,87",SUP,MR,"65","17",JIN,SB30EB20TO20PE20EO10
"310","-582221,21+240118,52",SUP,F,"95","23",VIN,ES40FT20PE20CR10SB10
"311","-582221,25+248544,09",SUP,R,"65","16",JIN,PG40PR20PB10SE10EO10FI10
"312","-582230,22+232225,74",SUP,F,"85","12","30",PE40ES20FT20EO10SE10
"313","-582238,38+231452,33",SUP,F,"85","21",JIN,ES60FR20HG10TA10
"314","-582241,29+231877,99",SUP,F,"95","22",JIN,ES60FT20PE10TA10
"315","-582242,86+233368,81",SUP,R,"65","16",JIN,SB60EB10ML10FI10FO10
"316","-582247,06+253279,38",SUP,R,"95","19","50",PR100
"317","-582251,13+247611,47",SUP,MR,"65","17",JIN,PI30SB30RX10PE20EO10
"318","-582252,76+242608,95",SUP,MF,"75","17","50",EO30FO20BP10PE10SB20TO10
