fid,geoc_maj,etage,ty_couv_et,densite,hauteur,cl_age_et,eta_ess_pc
"1","+180527,69+580231,35",SUP,F,"65","10",JIN,BP30EO20FN20PE10SB20
"2","+180786,79+575825,53",SUP,MF,"55","20","70",PA50BJ20SB20EB10
"3","+180894,65+573177,69",SUP,R,,"2","10",RX
"4","+180905,48+575932,77",SUP,MR,"75","13","70",SB50EB10RX10BP20FX10
"5","+180922,37+583244,43",SUP,R,"85","13","70",SB70EB10BP10FN10
"6","+181050,91+582845,89",SUP,MF,"75","18","90",PE60BP10SB30
"7","+181072,98+580430,40",SUP,R,"85","13","70",SB80EB10FX10
"8","+181077,53+581637,49",SUP,R,"55","17","70",SB90BP10
"9","+181095,55+576297,66",SUP,MR,"55","12",JIN,SB40EB20BP20EO10FN10
"10","+181103,89+577139,04",SUP,R,"75","16","70",SB60EB20BP10FN10
"11","+181104,58+582340,66",SUP,R,"65","14","70",SB60EB20BP10FX10
"12","+181119,74+580873,13",SUP,R,"75","16","90",SB80EB10FX10
"13","+181143,41+582706,33",SUP,R,"85","14","70",SB90FX10
"14","+181155,43+582601,81",SUP,R,"85","14","70",SB90FX10
"15","+181174,70+581512,95",INF,MF,"55","8","30",BP20FN20PE20SB30EB10
"16","+181174,70+581512,95",SUP,F,"35","17","70",PE70BP10EB10SB10
"17","+181182,05+572386,77",SUP,R,"55","7","30",SB80EB20
"18","+181194,13+581180,26",SUP,R,"65","15",VIN,SB60EB20BJ10EO10
"19","+181198,61+580995,40",SUP,R,"85","13","50",SB80EB10FX10
"20","+181200,05+572680,86",SUP,R,"75","7","30",SB80EB20
"21","+181218,81+581335,92",SUP,R,"55","13",VIN,SB60EB20BP10FX10
"22","+181223,88+572316,82",SUP,R,"75","7","30",SB80EB20
"23","+181223,89+582111,00",SUP,R,"55","13",JIN,SB80EB10FI10
"24","+181228,08+579688,37",SUP,F,"75","15",JIN,EO30BJ20ES20BP10SB20
"25","+181229,48+579203,87",SUP,F,"65","14",JIN,BJ20BP20EO20ES20SB20
"26","+181238,21+578450,12",SUP,MR,"55","13",VIN,SB40EB20EN10BP20EO10
"27","+181239,05+573302,88",SUP,R,"85","13","70",SB90EB10
"28","+181239,55+574598,65",SUP,R,"65","16",VIN,SB70EB10EN10FX10
"29","+181247,34+582752,50",SUP,MF,"65","19",VIN,BJ30BP20FN10SB30EB10
"30","+181252,53+577798,42",SUP,R,"65","17","90",SB70EB10EN10BP10
"31","+181258,86+578819,79",SUP,MF,"75","16",VIN,ES30BJ20EO10SB30EB10
"32","+181259,52+581621,18",SUP,R,"55","17","70",SB90BP10
"33","+181265,25+580671,20",SUP,R,"65","15",JIN,SB70EB20BP10
"34","+181274,57+575494,16",SUP,MR,"75","16",VIN,SB40EB20BP20BJ10ER10
"35","+181281,51+577289,22",SUP,R,,"1","10",RZ
"36","+181283,73+580460,76",SUP,R,"85","13","70",SB80EB10FX10
"37","+181283,98+581217,29",SUP,R,"55","13",VIN,SB60EB20BP10FX10
"38","+181301,81+580363,05",SUP,R,"55","8","30",SB80EB10FX10
"39","+181309,96+581943,32",SUP,R,"65","14","70",SB60EB20BP10FX10
"40","+181320,37+581366,36",SUP,R,"55","13",VIN,SB60EB20BP10FX10
"41","+181324,93+583194,86",SUP,MF,"75","18","90",PE60BP10SB30
"42","+181331,25+583139,28",SUP,R,"85","16","70",SB90EB10
"43","+181334,35+579103,93",SUP,MR,"55","10",JIN,SB50EB10EN10BP20EO10
"44","+181334,38+569153,43",SUP,R,"55","16","120",SB70EB30
"45","+181339,97+571080,11",SUP,R,"65","5","30",RX100
"46","+181341,36+581014,86",SUP,R,"55","13",JIN,SB60EB20BP20
"47","+181342,18+583357,02",SUP,MR,"85","15",JIN,SB60EB10BP10FX10PE10
"48","+181342,97+582353,06",SUP,R,"85","12",JIN,SB80BP10FN10
"49","+181344,81+582250,79",SUP,R,"65","14","70",SB60EB20BP10FX10
"50","+181347,41+576482,80",SUP,R,,"1","10",RZ
"51","+181348,13+581844,81",SUP,R,"65","14","70",SB60EB20BP10FX10
"52","+181349,74+577804,02",SUP,MR,"55","13",VIN,SB50EB20EO20FX10
"53","+181354,35+571439,29",SUP,R,"45","4","30",RX80FX20
"54","+181367,76+579525,25",SUP,MF,"65","12",JIN,BJ20EO20BP10ES10SB30EB10
"55","+181370,47+567164,71",SUP,R,"75","13","90",SB60EB30BP10
"56","+181372,38+574885,48",SUP,MR,"75","16",VIN,SB40EB20BP20BJ10ER10
"57","+181380,93+577334,85",SUP,R,"65","17","90",SB70EB10EN10BP10
"58","+181388,93+573685,52",SUP,R,"75","15","90",SB90EB10
"59","+181398,16+577224,40",SUP,R,,"1","10",RZ
"60","+181402,56+573819,99",SUP,R,"75","15","90",SB90EB10
"61","+181403,34+582730,23",SUP,MR,"85","16","70",SB60EB10BP10EO10FN10
"62","+181403,57+576284,30",SUP,R,,"1","10",RZ
"63","+181410,50+581818,21",SUP,R,"75","9","30",EB50SB40FI10
"64","+181413,24+573949,08",SUP,R,"75","15","90",SB90EB10
"65","+181415,96+572977,47",SUP,R,,"3","10",RXRZ
"66","+181436,29+578587,15",SUP,MF,"65","10","30",BP30EO20FN20SB30
"67","+181437,91+575918,58",SUP,MR,"45","13",JIN,SB50EB20BP20EO10
"68","+181448,85+565197,13",SUP,R,"95","6","30",RX100
"69","+181453,14+572090,84",SUP,MF,"85","5","10",FX60RZ40
"70","+181459,86+574077,41",SUP,R,"75","15","90",SB90EB10
"71","+181462,77+576411,51",SUP,R,,"1","10",RZ
"72","+181470,30+576310,25",SUP,R,,"1","10",RZ
"73","+181470,58+567344,58",SUP,R,,"3","10",RX
"74","+181471,10+579642,63",SUP,R,"65","11","30",SB60EB20BP10FX10
"75","+181474,15+579059,86",SUP,R,"65","16","70",SB90EB10
"76","+181478,70+576928,33",SUP,R,"85","15","70",SB80EB10BP10
"77","+181487,44+577320,62",SUP,R,"85","13","70",SB90EB10
"78","+181489,09+567806,13",SUP,R,"85","15","120",SB80EB20
"79","+181491,41+582662,31",SUP,R,"55","16","70",SB90BP10
"80","+181493,43+573437,77",SUP,R,"75","15","90",SB90EB10
"81","+181493,50+574515,08",SUP,R,"75","17",VIN,SB60EB20BP10FX10
"82","+181495,85+580224,80",SUP,R,"65","16","70",SB70EB20FX10
"83","+181496,36+582027,64",SUP,R,"65","14","70",SB60EB20BP10FX10
"84","+181505,37+569642,61",SUP,R,"75","6","30",RX100
"85","+181510,42+574211,48",SUP,R,"65","16",VIN,SB70EB10EN10FX10
"86","+181511,37+579196,68",SUP,R,"65","16","70",SB90EB10
"87","+181518,14+579854,80",SUP,R,"65","16","70",SB70EB20FX10
"88","+181528,61+572410,46",SUP,R,"65","7","30",SB60EB40
"89","+181532,60+574018,06",SUP,R,"75","15","90",SB90EB10
"90","+181536,23+582323,25",SUP,R,"55","16","70",SB90BP10
"91","+181537,12+579344,87",SUP,R,"65","12",JIN,SB70EB10BP10FX10
"92","+181537,60+581972,29",SUP,R,"65","14","70",SB60EB20BP10FX10
"93","+181542,11+576682,40",SUP,R,,"1","10",RZ
"94","+181548,32+568581,46",SUP,R,"65","4","10",RX100
"95","+181557,20+574604,79",SUP,MF,"65","12",JIN,BJ20BP20EO20SB30EB10
"96","+181559,49+569585,93",SUP,R,"65","5","30",RZ60RX20FX20
"97","+181562,96+567568,96",SUP,R,,"3","10",RX
"98","+181566,39+571985,97",SUP,R,"45","18",VIN,EB50SB50
"99","+181566,46+573629,37",SUP,R,"75","15","90",SB90EB10
"100","+181568,02+577982,67",SUP,R,"75","9","30",SB90EB10
"101","+181570,90+568025,87",SUP,R,"55","15","120",SB70EB20EN10
"102","+181579,71+579468,04",SUP,MR,"55","10",JIN,SB50EB10EN10BP20EO10
"103","+181582,41+574190,52",SUP,R,"75","17",VIN,SB60EB20BP10FX10
"104","+181585,33+568393,96",SUP,R,"65","4","10",RX100
"105","+181586,26+570784,50",SUP,R,"55","6","30",RX100
"106","+181588,15+578966,38",SUP,R,"65","16","70",SB90EB10
"107","+181597,24+573916,23",SUP,R,"75","15","90",SB90EB10
"108","+181598,04+568762,05",SUP,R,"45","4","10",RX100
"109","+181601,24+562515,12",SUP,R,"45","13",VIN,SB60EB30EN10
"110","+181601,78+571463,45",SUP,R,"65","6","30",RX90FX10
"111","+181603,24+582770,30",SUP,R,"85","14","70",SB80EB10BP10
"112","+181604,15+561229,24",SUP,MR,"85","13","70",SB50EB10EN10BP30
"113","+181604,43+573693,57",SUP,R,"75","15","90",SB90EB10
"114","+181607,16+573780,56",SUP,R,"75","15","90",SB90EB10
"115","+181607,58+572200,87",SUP,R,"65","6","30",RX100
"116","+181615,46+578911,47",SUP,MR,"75","11","30",SB60EB10BP20FN10
"117","+181618,73+570044,19",SUP,MR,"55","8","30",SB50EB10BP30PT10
"118","+181619,24+580425,84",SUP,R,"65","16","70",SB70EB20FX10
"119","+181620,53+571181,68",SUP,R,"45","4","30",RX80FX20
"120","+181625,76+583353,68",SUP,MF,"75","19",VIN,BP30EO20PE20SB30
"121","+181638,19+581262,17",SUP,R,"55","13",VIN,SB60EB20BP10FX10
"122","+181640,54+575866,59",SUP,MF,"55","11","30",BP50FN20SB20EB10
"123","+181644,32+576396,95",SUP,R,"85","13","70",SB90EB10
"124","+181648,25+583249,09",SUP,MF,"75","19",VIN,BP30EO20PE20SB30
"125","+181654,28+565759,67",SUP,R,"95","12","120",SB90EB10
"126","+181656,94+560402,16",SUP,MR,"75","11","70",SB60RX10BP30
"127","+181664,12+575125,49",SUP,MR,"55","15",VIN,SB40EB30BP20EO10
"128","+181668,17+574085,57",SUP,R,"75","17",VIN,SB60EB20BP10FX10
"129","+181677,34+566126,38",SUP,R,"95","12","120",SB90EB10
"130","+181679,10+583431,87",SUP,MR,"85","13","50",SB60EB10BP20FN10
"131","+181684,96+564375,09",SUP,R,"65","11","120",SB70EB30
"132","+181685,41+569098,29",SUP,R,"55","5","10",RX100
"133","+181685,95+577391,27",SUP,R,"65","12","70",SB70EB20FX10
"134","+181687,23+579928,87",SUP,R,"85","14","70",SB90EB10
"135","+181689,66+580514,86",SUP,R,"65","16","70",SB70EB20FX10
"136","+181691,64+561927,96",SUP,MF,"85","12","50",BP60SB30EB10
"137","+181694,94+579422,63",SUP,R,"65","12",JIN,SB70EB10BP10FX10
"138","+181695,84+569619,52",SUP,R,"65","6","30",RX90FX10
"139","+181696,64+577887,72",SUP,R,,"1","10",RZ
"140","+181700,20+568892,27",SUP,R,"35","16","120",SB70EB30
"141","+181702,25+575637,14",SUP,MF,"65","12",JIN,BJ20BP20EO20SB30EB10
"142","+181703,45+563876,90",SUP,R,"85","6","30",RX100
"143","+181706,27+576146,39",SUP,R,"85","8","30",SB60EB20BP10FN10
"144","+181715,98+579160,19",SUP,R,"65","12",JIN,SB70EB10BP10FX10
"145","+181719,19+573706,78",SUP,R,"75","15","90",SB90EB10
"146","+181721,49+566236,09",SUP,R,"75","14","120",SB70EB30
"147","+181723,97+566901,38",SUP,R,"75","4","10",RX100
"148","+181724,30+578359,84",SUP,MF,"55","9","30",BP20EO20FN20SB30EB10
"149","+181725,34+581266,74",SUP,MR,"75","12",JIN,SB50EB20BP20FN10
"150","+181735,22+563053,88",SUP,R,"65","10",JIN,SB80EB20
"151","+181735,24+580707,37",SUP,R,"85","16","90",SB90EB10
"152","+181736,00+573404,88",SUP,R,"75","15","90",SB90EB10
"153","+181737,56+564074,05",SUP,R,"55","9",VIN,SB60EB40
"154","+181738,31+566496,09",SUP,R,"75","14","120",SB70EB30
"155","+181742,86+574624,87",SUP,MM,"55","8",JIN,SB40EB10BP20EO20FN10
"156","+181743,30+570957,67",SUP,MR,"55","6","30",RX60FX40
"157","+181745,30+569292,48",SUP,R,"75","12",VIN,SB60EB30BP10
"158","+181749,37+565425,67",SUP,R,"65","4","10",RX100
"159","+181749,53+567066,71",SUP,R,"75","4","10",RX100
"160","+181754,28+565712,52",SUP,R,"95","12","120",SB90EB10
"161","+181759,40+582848,81",SUP,MM,"75","18",VIN,SB40EB10BJ20BP20EO10
"162","+181765,28+581075,88",SUP,MR,"75","12",JIN,SB50EB20BP20FN10
"163","+181771,29+571756,25",SUP,MR,,"3","10",RZRXFX
"164","+181771,44+578926,85",SUP,R,"65","12",JIN,SB70EB10BP10FX10
"165","+181778,49+562775,39",SUP,MR,"75","14","70",SB50EB20BP30
"166","+181779,58+568375,42",SUP,R,"75","5","10",RX100
"167","+181783,24+572889,26",SUP,R,"65","15","120",SB80EB10EN10
"168","+181784,38+564942,43",SUP,R,"85","8","50",SB80EB20
"169","+181785,61+563782,64",SUP,R,"85","6","30",RX100
"170","+181786,09+561133,10",SUP,MR,"85","13","70",SB50EB10EN10BP30
"171","+181791,71+575973,45",SUP,R,"55","16","90",SB50EB30BP20
"172","+181793,71+581699,16",SUP,R,"75","9","30",EB50SB40FI10
"173","+181798,55+563586,39",SUP,R,"65","14",VIN,SB50EB40BP10
"174","+181799,50+579390,52",SUP,R,"65","12",JIN,SB70EB10BP10FX10
"175","+181803,73+560620,44",SUP,MF,"75","12","70",BP70SB30
"176","+181804,63+563892,21",SUP,R,"65","14","90",SB60EB30BP10
"177","+181805,81+568654,74",SUP,R,"65","5","10",RX100
"178","+181807,00+577780,65",SUP,R,"75","14","70",SB70EB10BP10FN10
"179","+181808,49+579630,31",SUP,MF,"55","10","30",BP20EO20FN10PE10SB30EB10
"180","+181812,32+569962,44",SUP,R,"55","7","30",SB90EB10
"181","+181816,46+574107,28",SUP,MF,"65","12",JIN,BJ20BP20EO20SB30EB10
"182","+181818,54+578847,82",SUP,R,"55","8","30",SB60EB40
"183","+181819,04+561006,63",SUP,MR,"85","13","70",SB50EB10EN10BP30
"184","+181822,23+560777,71",SUP,MR,"65","12","70",SB40EN20BP40
"185","+181825,66+567424,99",SUP,R,"55","13",VIN,SB50EB40BP10
"186","+181828,06+561735,92",SUP,R,"85","14","70",SB70EB20BP10
"187","+181830,82+570271,96",SUP,R,"85","6","30",RX100
"188","+181831,73+566007,47",SUP,R,"55","13","120",SB80EB20
"189","+181832,15+567108,36",SUP,R,"65","4","10",RX100
"190","+181832,81+582422,68",SUP,R,"75","16","70",SB90FX10
"191","+181833,13+579773,54",SUP,R,"65","16","70",SB70EB20FX10
"192","+181834,14+581105,88",SUP,MR,"75","12",JIN,SB50EB20BP20FN10
"193","+181836,12+565523,33",SUP,R,"55","13","120",SB80EB20
"194","+181843,36+566879,74",SUP,R,,"3","10",RZRX
"195","+181845,62+563269,42",SUP,R,"85","9","50",SB60EB30BP10
"196","+181849,87+572326,77",SUP,R,"85","7","30",SB90EB10
"197","+181851,37+563490,71",SUP,R,"65","14",VIN,SB50EB40BP10
"198","+181851,48+582161,63",SUP,MR,"75","13",JIN,SB60EB10BP20FN10
"199","+181857,40+581957,22",SUP,MR,"75","13",JIN,SB60EB10BP20FN10
"200","+181860,48+579283,02",SUP,R,"75","14","70",SB70EB10BP10FN10
"201","+181870,99+575396,63",SUP,MR,"55","12",JIN,SB40EB20BP30FX10
"202","+181873,67+563752,43",SUP,R,"65","14",VIN,SB50EB40BP10
"203","+181873,79+563858,60",SUP,R,"65","14","90",SB60EB30BP10
"204","+181874,24+565646,54",SUP,R,"55","13","120",SB80EB20
"205","+181876,78+565798,96",SUP,R,"75","12","120",SB80EB20
"206","+181878,11+572421,89",SUP,R,"55","5","10",RZ60RX40
"207","+181879,63+570181,66",SUP,R,"65","6","30",RX90FX10
"208","+181879,64+565958,73",SUP,R,"75","12","120",SB80EB20
"209","+181880,53+563410,72",SUP,R,"75","15",VIN,SB60EB40
"210","+181883,33+579076,58",SUP,R,"65","12",JIN,SB70EB10BP10FX10
"211","+181883,47+583026,30",SUP,MF,"75","19",VIN,BP30EO20PE20SB30
"212","+181883,54+564790,26",SUP,R,"75","13","120",SB70EB30
"213","+181887,56+561231,46",SUP,R,"65","14",VIN,EB40SB40BP10PT10
"214","+181890,51+561389,46",SUP,R,"75","11",JIN,SB90EB10
"215","+181891,73+573856,73",SUP,MF,"85","8","30",BP20ES20EO10FN10SB30EB10
"216","+181893,44+563671,97",SUP,R,"65","14",VIN,SB50EB40BP10
"217","+181897,44+562361,69",SUP,R,"75","13","70",SB70EB30
"218","+181898,45+582148,07",SUP,R,"55","16",VIN,SB60EB20BP10FX10
"219","+181899,38+577135,58",SUP,R,,"1","10",RZ
"220","+181899,40+570029,52",SUP,R,"55","16",VIN,EB50SB50
"221","+181899,94+572571,66",SUP,R,"75","15","120",SB60EB40
"222","+181903,23+570580,14",SUP,R,"55","5","30",RX100
"223","+181905,78+579458,74",SUP,R,"65","8","30",SB80EB20
"224","+181907,56+572099,72",SUP,R,"75","4","10",RZ60RX40
"225","+181908,99+572238,64",SUP,R,"65","8","30",SB60EB40
"226","+181913,41+561297,60",SUP,R,"85","7","30",SB70EB30
"227","+181914,79+571955,92",SUP,R,"65","7","30",SB50EB30BP20
"228","+181916,24+576661,48",SUP,MR,"75","13","70",SB50EB10BP20FN20
"229","+181921,71+578364,94",SUP,R,"75","9","30",SB90EB10
"230","+181928,96+567068,19",SUP,R,"65","4","10",RX100
"231","+181930,94+570693,03",SUP,R,"65","7","30",SB80EB10FI10
"232","+181932,88+561019,01",SUP,R,"75","12","70",EN50SB50
"233","+181935,37+581684,53",SUP,MR,"55","12","70",SB40EB20BP30FN10
"234","+181936,98+569429,93",SUP,R,"75","7","30",SB80EB10BP10
"235","+181940,31+583191,16",SUP,MF,"75","19",VIN,BP30EO20PE20SB30
"236","+181940,90+563342,41",SUP,R,"85","9","50",SB60EB30BP10
"237","+181943,16+567744,19",SUP,R,"55","11",JIN,SB50EB40BP10
"238","+181943,62+573037,92",SUP,R,"65","12",JIN,SB60EB20BP20
"239","+181947,00+561464,55",SUP,R,"75","15",VIN,SB60EB30BP10
"240","+181947,50+571445,21",SUP,MR,,"2","10",RZRXFX
"241","+181950,36+560897,16",SUP,MR,"65","12","70",SB40EN20BP40
"242","+181951,67+563781,95",SUP,R,"85","6","30",RX100
"243","+181951,73+581581,76",SUP,R,"55","13",VIN,SB60EB20BP10FX10
"244","+181952,88+563696,48",SUP,R,"65","14",VIN,SB50EB40BP10
"245","+181953,54+568942,74",SUP,R,"75","12",JIN,SB60EB30BP10
"246","+181954,09+564210,12",SUP,R,"85","6","30",RX100
"247","+181955,93+562708,76",SUP,R,"85","13","70",SB80EB10BP10
"248","+181956,61+574464,87",SUP,MM,"55","8",JIN,SB40EB10BP20EO20FN10
"249","+181960,72+563460,94",SUP,R,"75","15",VIN,SB60EB40
"250","+181968,02+580287,32",SUP,R,"65","16","70",SB70EB20FX10
"251","+181968,42+581267,65",SUP,MR,"75","12",JIN,SB50EB20BP20FN10
"252","+181969,40+578624,72",SUP,MM,"55","10","30",SB40EB10BP20FN20EO10
"253","+181972,03+561163,72",SUP,R,"65","14",VIN,EB40SB40BP10PT10
"254","+181974,43+573661,54",SUP,MM,"55","8",JIN,SB40EB10BP20EO20FN10
"255","+181977,30+580881,79",SUP,MF,"75","18",VIN,BJ40BP10EO10SB40
"256","+181977,49+565163,80",SUP,R,"85","8","50",SB80EB20
"257","+181980,87+564391,61",SUP,R,"55","9",VIN,SB60EB40
"258","+181981,12+563999,62",SUP,R,"65","14","90",SB60EB30BP10
"259","+181983,85+580285,04",SUP,R,"85","15","70",SB70EB10BP10FN10
"260","+181988,83+579251,78",SUP,R,"75","14","70",SB70EB10BP10FN10
"261","+181991,04+563336,39",SUP,R,"65","10",JIN,SB80EB20
"262","+181993,82+567097,83",SUP,R,"65","4","10",RX100
"263","+181993,82+567381,53",SUP,R,,"3","10",RX
"264","+181995,69+575160,88",SUP,MF,"65","10","30",BP50FX10SB40
"265","+181996,09+561720,42",SUP,MR,"85","14","70",SB50EB20BP30
"266","+181997,82+569716,70",SUP,R,"65","15",VIN,SB70EB30
"267","+181998,71+577790,09",SUP,R,"65","8","30",SB60EB20BP10EO10
"268","+182000,82+561852,82",SUP,MF,"85","12","50",BP60SB30EB10
"269","+182001,79+581888,61",SUP,MR,"55","12","70",SB40EB20BP30FN10
"270","+182001,85+564515,92",SUP,R,"85","7","50",SB80EB20
"271","+182004,81+566493,05",SUP,R,"35","4","10",RX100
"272","+182009,50+560996,55",SUP,R,"75","12","70",EN50SB50
"273","+182023,17+582013,23",SUP,R,"55","16","70",SB80EB20
"274","+182028,54+572978,93",SUP,R,"75","11","50",SB80EB20
"275","+182034,80+567695,27",SUP,R,"55","4","10",RX100
"276","+182036,04+580639,83",SUP,R,"85","15","70",SB70EB10BP10FN10
"277","+182037,60+577244,20",SUP,R,,"1","10",RZ
"278","+182037,63+581700,51",SUP,MR,"55","12","70",SB40EB20BP30FN10
"279","+182046,34+582587,65",SUP,R,"85","14","70",SB80EB20
"280","+182047,94+564181,43",SUP,R,"65","14",VIN,SB50EB40BP10
"281","+182048,97+580757,94",SUP,R,"85","15","70",SB70EB10BP10FN10
"282","+182050,25+565657,41",SUP,R,,"3","10",RX
"283","+182050,94+566070,33",SUP,R,"55","4","10",RX100
"284","+182070,33+566811,89",SUP,R,,"3","10",RZRX
"285","+182070,97+571107,22",SUP,MR,"55","6","30",RX60FX40
"286","+182072,69+570875,19",SUP,R,"65","6","30",RX100
"287","+182073,09+579393,30",SUP,MR,"75","15","70",SB60EB10BP20FN10
"288","+182076,52+582387,40",SUP,R,"55","16","70",SB80EB20
"289","+182077,20+563579,22",SUP,R,"75","15",VIN,SB60EB40
"290","+182078,02+563495,50",SUP,R,"75","15",VIN,SB60EB40
"291","+182078,85+563664,56",SUP,MR,"75","8","30",SB40EB30BP30
"292","+182078,88+566922,48",SUP,R,"65","4","10",RX100
"293","+182079,12+564014,39",SUP,R,"85","12",JIN,SB50EB30BP20
"294","+182079,31+567093,60",SUP,R,"55","15",VIN,EB60SB30EN10
"295","+182083,23+570270,79",SUP,R,"55","15",VIN,SB60EB40
"296","+182086,99+564264,92",SUP,R,"65","14",VIN,SB50EB40BP10
"297","+182087,56+565356,04",SUP,R,"85","11","90",SB60EB40
"298","+182088,24+568263,18",SUP,R,"65","6","10",RX100
"299","+182089,14+562232,01",SUP,R,"75","9",VIN,SB60EB10EN10BP20
"300","+182093,70+566686,28",SUP,R,"65","4","10",RX100
"301","+182096,48+562681,79",SUP,MR,"85","13","70",SB40EB20BP40
"302","+182103,85+581266,66",SUP,R,"85","14","70",SB80EB20
"303","+182106,53+570953,31",SUP,R,"55","4","10",RX70RZ30
"304","+182107,01+579599,19",SUP,R,"65","8","30",SB80EB20
"305","+182108,92+578941,13",SUP,MF,"65","8","30",BP40FN30SB30
"306","+182113,60+578086,81",SUP,MF,"65","8","30",BP20EO20FN20SB40
"307","+182114,05+567964,17",SUP,R,"65","5","10",RX100
"308","+182125,92+560659,96",SUP,MF,"85","13","120",BP60SB30EB10
"309","+182131,57+561049,18",SUP,R,"65","14",VIN,EB40SB40BP10PT10
"310","+182133,28+577270,44",SUP,R,,"1","10",RZ
"311","+182140,00+563549,32",SUP,R,"75","15",VIN,SB60EB40
"312","+182140,64+563941,50",SUP,R,"85","12",JIN,SB50EB30BP20
"313","+182146,34+575769,74",SUP,R,,"1","10",RXRZ
"314","+182146,63+560880,18",SUP,R,"75","12","70",EN50SB50
"315","+182146,89+559983,46",SUP,MF,"65","8",VIN,BP30FN30SB30RX10
"316","+182148,38+562919,82",SUP,R,"85","14",VIN,SB70EN20BP10
"317","+182154,16+567441,52",SUP,R,"45","4","10",RX100
"318","+182155,25+579748,03",SUP,R,"85","15","70",SB70EB10BP10FN10
"319","+182159,04+562596,81",SUP,MR,"85","15","90",SB60EB10BP30
"320","+182167,11+561565,42",SUP,R,"55","16","120",SB60EB30EN10
"321","+182172,46+568486,04",SUP,R,"75","4","10",RX100
"322","+182173,09+577244,78",SUP,R,,"1","10",RZ
"323","+182177,60+582981,44",SUP,R,"55","16",VIN,SB60EB20BJ10BP10
"324","+182179,33+560792,67",SUP,R,"75","12","70",EN50SB50
"325","+182181,50+566150,39",SUP,R,,"3","10",RX
"326","+182181,66+576333,88",SUP,MM,"75","12","70",SB40EB10BP30FN20
"327","+182187,46+582214,16",SUP,MR,"85","9","30",SB40EB20BP20FN20
"328","+182188,52+577876,39",SUP,R,"75","8","30",SB80EB20
"329","+182191,41+575093,91",SUP,R,"85","13","70",SB90EB10
"330","+182194,18+563840,94",SUP,R,"65","14",VIN,SB50EB40BP10
"331","+182197,95+566009,03",SUP,R,"65","12",VIN,SB80EB20
"332","+182200,76+578705,70",SUP,MR,,"3","10",FXRXRZ
"333","+182204,25+572642,02",SUP,R,"55","16","120",SB80EB20
"334","+182204,70+564398,59",SUP,R,"55","14",VIN,EB50SB40BP10
"335","+182207,99+562993,48",SUP,R,"85","14",VIN,SB70EN20BP10
"336","+182210,96+579064,78",SUP,R,"65","9","30",SB80EB20
"337","+182214,92+582344,71",SUP,MR,"55","13",JIN,SB50EB20BP20FX10
"338","+182217,83+567234,14",SUP,R,"75","15",VIN,SB50EB40BP10
"339","+182221,69+565193,56",SUP,R,"85","11","90",SB60EB40
"340","+182222,79+576575,68",SUP,R,,"1","10",RZ
"341","+182224,91+582743,74",SUP,R,"55","15",VIN,SB100
"342","+182226,83+561104,33",SUP,R,"85","7","30",SB70EB30
"343","+182227,37+563635,36",SUP,R,"75","15",VIN,SB60EB40
"344","+182228,68+568989,71",SUP,R,,"3","10",RZ
"345","+182239,92+578851,58",SUP,MR,"55","13","50",SB50EB10BP30FX10
"346","+182243,40+570140,12",SUP,R,"65","6","30",RX100
"347","+182243,74+560282,83",SUP,MM,"75","10",VIN,SB40EN10BP40FN10
"348","+182249,52+564152,45",SUP,R,"85","6","30",RX100
"349","+182253,47+580798,20",SUP,R,"85","18","90",SB70EB10BJ10BP10
"350","+182254,67+572245,82",SUP,R,"85","11","30",SB80EB20
"351","+182257,21+582884,41",SUP,R,"95","13","90",SB100
"352","+182257,55+566262,86",SUP,R,,"3","10",RZRX
"353","+182261,67+582708,82",SUP,R,"95","13","90",SB100
"354","+182263,71+576517,94",SUP,R,,"1","10",RZ
"355","+182272,18+583421,60",SUP,MR,"65","17",VIN,SB50EB10BP30FX10
"356","+182274,88+572053,40",SUP,R,"55","18","120",EB50SB50
"357","+182276,20+560810,61",SUP,R,"85","7","30",SB70EN20EB10
"358","+182277,13+564283,52",SUP,R,"65","14",VIN,SB50EB40BP10
"359","+182277,35+564796,01",SUP,R,"85","6","30",RX100
"360","+182278,93+579223,43",SUP,MR,"75","15","70",SB60EB10BP20FN10
"361","+182284,04+565761,83",SUP,R,"45","11",VIN,SB70EB30
"362","+182285,08+560664,66",SUP,MR,"85","13",VIN,EN30SB30BP40
"363","+182286,52+571323,29",SUP,MR,,"2","10",RZRXFX
"364","+182287,31+560062,38",SUP,MM,"75","10",VIN,SB40EN10BP40FN10
"365","+182287,41+566868,16",SUP,R,,"3","10",RX
"366","+182296,20+582559,16",SUP,MR,"55","13",JIN,SB70BP20FX10
"367","+182303,81+566359,28",SUP,R,"65","4","10",RX100
"368","+182307,70+569494,67",SUP,R,"65","6","10",RX100
"369","+182308,72+564541,90",SUP,R,"55","14",VIN,EB50SB40BP10
"370","+182310,71+579506,72",SUP,MR,"75","15","70",SB60EB10BP20FN10
"371","+182312,50+560536,66",SUP,MF,"85","13","120",BP60SB30EB10
"372","+182317,44+560370,47",SUP,MF,"85","13","120",BP60SB30EB10
"373","+182320,54+563813,83",SUP,R,"85","12",JIN,SB50EB30BP20
"374","+182321,86+578098,76",SUP,R,"75","8","30",SB80EB20
"375","+182327,30+570732,30",SUP,MF,"45","8","30",BP50PT10SB30EB10
"376","+182331,93+571548,56",SUP,R,"65","17",VIN,SB60EB40
"377","+182338,63+579738,05",SUP,R,"85","15","70",SB70EB10BP10FN10
