fid,geoc_maj,etage,ty_couv_et,densite,hauteur,cl_age_et,eta_ess_pc
"82","+100604,30+438735,98",SUP,MR,"65","16",VIN,SB40EB30BP20PE10
"83","+100608,94+434147,74",SUP,MR,"75","18",JIN,SB50RX10EO30FI10
"84","+100611,05+437774,95",SUP,F,"85","20","90",ES90BJ10
"85","+100618,95+440138,48",SUP,R,"75","17","50",EB80SB10FI10
"86","+100622,98+441804,46",SUP,MM,"85","9","10",SB40EB10PE20BP10EO10FN10
"87","+100642,45+441075,35",SUP,F,"95","19","90",ES100
"88","+100646,29+434060,07",SUP,F,"85","24","90",PE60EO20BP10RX10
"89","+100684,16+439804,78",SUP,F,"85","21","90",PE50BP20ER10EB10SB10
"90","+100697,53+435915,37",SUP,MR,"85","15","30",PG60RX10EO20BP10
"91","+100706,03+440743,70",SUP,R,"85","15","30",EV100
"92","+100706,25+441342,01",SUP,F,"75","19","90",ES70BJ10EO10FI10
"93","+100708,54+435459,68",SUP,F,"75","21",VIN,BJ30ES30EO20EB10SB10
"94","+100723,87+444514,05",SUP,MR,"75","18","70",SB50EB20BP10EO10PE10
"95","+100737,73+436454,85",SUP,F,"75","20","90",PE50BP20EO10EB10SB10
"96","+100741,71+436971,14",SUP,F,"85","19","90",BP50BJ20PE20ER10
"97","+100748,28+440033,46",SUP,F,"85","21","90",PE50BP20ER10EB10SB10
"98","+100755,06+445792,58",SUP,F,"95","21",JIN,ES80BJ20
"99","+100762,33+434652,40",SUP,F,"85","21","90",ES90BJ10
"100","+100764,97+438035,89",SUP,F,"65","25","90",PE80BP10SE10
"101","+100769,66+439133,20",SUP,MM,"75","20","90",EN20SB20EB10BP40PE10
"102","+100778,18+443940,58",SUP,R,"85","17","50",EB70SB20FI10
"103","+100781,97+438518,86",SUP,MF,"75","21","90",PE40BP30EB20SB10
"104","+100787,37+438264,62",SUP,R,"65","23","90",EB40SB40TO10FX10
"105","+100790,46+443031,38",SUP,R,"75","17","50",EB100
"106","+100796,23+445446,58",SUP,R,"75","10","30",EB40EN30SB20FI10
"107","+100800,68+439459,92",SUP,MF,"75","19",JIN,EO20ES20BJ10BP10PE10SB20EB10
"108","+100810,81+445137,65",SUP,MF,"85","8","30",PE40BP10EO10FN10SB20EB10
"109","+100817,37+440385,06",SUP,R,"75","10","10",EN60EV30EB10
"110","+100819,51+433686,23",SUP,F,"85","19","90",PE40BP30EO20SE10
"111","+100826,59+439640,80",SUP,F,"75","20",JIN,ES50BJ30EO10FI10
"112","+100849,42+445312,21",SUP,R,"65","12",JIN,SB50EB30BP10PE10
"113","+100854,91+441797,70",SUP,F,"85","20","90",ES70BJ10EO10RX10
"114","+100890,17+443528,47",SUP,R,"35","12","30",EB80SB10FX10
"115","+100901,82+434810,09",SUP,MF,"75","21",VIN,BJ60ER10SB20RX10
"116","+100913,32+439314,46",SUP,F,"75","18","90",BP40PE30ER10EB10SB10
"117","+100931,20+440451,90",SUP,R,"45","16","50",EB70SB30
"118","+100946,40+436276,01",INF,F,"85","9","10",BP30EO20PE20FN10SB20
"119","+100946,40+436276,01",SUP,F,"25","17","70",ES50EO30FI10SE10
"120","+100952,20+434073,50",SUP,F,"85","20","90",PE40EO30BP20SE10
"121","+100953,54+445539,47",SUP,F,"85","11","30",PE60BP10EO10EB10SB10
"122","+100964,04+439962,00",SUP,F,"95","20","90",ES90FX10
"123","+100964,77+435383,55",SUP,F,"75","20",VIN,ES50BJ30EO10SE10
"124","+100969,66+437064,37",SUP,F,"75","23","90",PE40EO30BP20SE10
"125","+100970,81+444247,68",SUP,R,"45","8","30",EB70SB10EO10FI10
"126","+100975,74+441290,79",SUP,F,"95","20","90",ES100
"127","+100979,18+444645,12",SUP,R,"85","17","50",EB100
"128","+100979,31+440695,48",SUP,R,"65","17","50",EB90PR10
"129","+100979,63+438061,81",SUP,MF,"75","21","90",BP40PE30EB20SB10
"130","+100988,48+434357,75",SUP,F,"85","20",VIN,ES50BJ30FI10SE10
"131","+101000,67+438656,11",SUP,MR,"75","20","90",EN50SB10BP30PE10
"132","+101007,58+439087,59",SUP,F,"85","18","90",BP70ER10PE10SE10
"133","+101012,12+439711,27",SUP,F,"75","20",JIN,ES50BJ30EO10FI10
"134","+101012,89+441013,53",SUP,R,"85","12","30",EB90SB10
"135","+101029,17+435987,37",SUP,MR,"55","19","90",SB40EB20ES20EO10FI10
"136","+101035,96+437707,65",SUP,MF,"65","19",JIN,BP30BJ20EO10PE10EB20RX10
"137","+101037,39+442141,16",SUP,MF,"55","16",JIN,ES30BJ20BP10EO10SB20EB10
"138","+101067,82+434776,05",SUP,F,"85","19","90",PE40BP30EO20RX10
"139","+101083,83+435771,08",SUP,R,"75","14","30",EB70SB20FI10
"140","+101088,57+441857,98",SUP,R,"75","10","30",EN80SB20
"141","+101121,84+433930,44",SUP,MF,"75","19",VIN,EO20PE20BJ10BP10SB30EB10
"142","+101126,28+435041,50",SUP,F,"95","20","90",ES80EO10FI10
"143","+101128,35+441584,33",SUP,MF,"95","7","10",PE40BP20FN10TO20SE10
"144","+101134,29+436421,52",SUP,F,"85","19","90",BP50BJ20PE20EO10
"145","+101136,09+445371,39",SUP,R,"65","14","30",SB50EB40FI10
"146","+101151,78+435489,07",SUP,F,"95","20","90",ES80EO10FI10
"147","+101165,38+442005,49",SUP,F,"85","18",JIN,ES50BJ20EO10EB10SB10
"148","+101165,41+436738,80",SUP,F,"85","21","90",PE60BP30EO10
"149","+101198,54+443648,03",SUP,R,"65","15","30",EB100
"150","+101213,62+442812,01",SUP,R,"55","6","10",RX100
"151","+101214,50+438526,68",SUP,MF,"65","16",JIN,PE30BP20ER10SB30EB10
"152","+101214,54+445798,58",SUP,MM,"75","19","70",SB30EB20PE30BP10EO10
"153","+101221,22+445542,30",SUP,R,"35","11",JIN,SB50EB40FI10
"154","+101234,45+436184,60",SUP,F,"65","21","90",PE80BP20
"155","+101249,48+434424,24",SUP,MR,"65","19",VIN,SB40EB20BJ30FI10
"156","+101254,66+437404,60",SUP,F,"75","24","90",PE80BP20
"157","+101258,44+439372,01",SUP,F,"85","19",JIN,ES40BJ30EO10FI10SE10
"158","+101259,87+439608,03",SUP,F,"85","20",VIN,ES70BJ30
"159","+101280,43+441826,57",SUP,F,"95","20","90",ES100
"160","+101281,40+443755,51",SUP,MR,"75","19",VIN,EB50SB20BP10EO10PE10
"161","+101282,36+439104,34",SUP,MR,"75","15","50",SB60EO20BP10PE10
"162","+101284,90+441313,67",SUP,R,"85","16","30",EV100
"163","+101290,07+434178,27",SUP,F,"85","20",VIN,BJ30ES20PE20BP10EO10SE10
"164","+101292,98+437794,89",SUP,R,"75","18","90",SB50EB30RX10FI10
"165","+101294,98+435503,47",SUP,F,"75","21","90",BP40PE30BJ10EO10ES10
"166","+101306,84+435036,81",SUP,F,"85","19","90",BP70PE20ER10
"167","+101313,13+443475,14",SUP,F,"85","5","10",FX80RX20
"168","+101315,07+439859,69",SUP,F,"95","20","90",ES80BJ20
"169","+101315,17+444071,65",SUP,R,,"3","10",RZRX
"170","+101337,80+435924,87",SUP,F,"75","23","90",BP50PE30BJ10ER10
"171","+101341,25+445051,24",SUP,MF,"85","13",JIN,PE40EO20BP10SB20EB10
"172","+101344,22+438137,44",SUP,MM,"75","19","90",EB30SB20BP30PE20
"173","+101348,97+439309,66",SUP,F,"95","20","90",ES80BJ20
"174","+101353,73+439448,49",SUP,F,"85","20",VIN,ES70BJ30
"175","+101359,41+442592,27",SUP,MM,"65","20","70",EB20SB20RX10PE40BP10
"176","+101373,08+437552,90",SUP,R,"65","18","90",SB40EB30TO10EO10FI10
"177","+101373,12+438348,97",SUP,F,"75","23","90",PE70BP10EB10SB10
"178","+101374,84+441345,83",SUP,R,"85","15","30",EV70SB20EB10
"179","+101376,40+442365,18",SUP,F,"95","6","30",FX80RX20
"180","+101381,25+439456,72",SUP,F,"85","20",VIN,ES70BJ30
"181","+101381,65+436806,67",SUP,F,"95","18","90",ES70BP30
"182","+101384,98+444831,07",SUP,R,"85","17","50",EB100
"183","+101390,77+437016,64",SUP,F,"85","19","90",EO40BP30ES20SE10
"184","+101392,54+443238,43",SUP,F,"95","20","70",ES90BJ10
"185","+101403,14+438656,50",SUP,F,"85","17","90",ES30PE30BP20BJ10EO10
"186","+101411,43+439340,62",SUP,F,"95","20","90",ES80BJ20
"187","+101422,83+438865,93",SUP,MF,"75","15",JIN,ES30BJ20EO20SB30
"188","+101425,65+445295,24",SUP,R,"65","5","10",RX80FX20
"189","+101427,14+437253,09",SUP,F,"75","25","90",PE90FX10
"190","+101440,21+442708,68",SUP,MR,"65","14","30",EB40SB30BP20PE10
"191","+101443,25+439900,84",SUP,F,"75","20","90",ES80BJ10RX10
"192","+101453,76+440215,59",SUP,R,"75","18","50",EV100
"193","+101462,32+439252,12",SUP,F,"85","19",JIN,ES40BJ30EO10FI10SE10
"194","+101464,33+435867,65",SUP,F,"75","23","90",BP50PE30BJ10ER10
"195","+101464,78+434085,57",SUP,F,"85","20","90",PE40BP20BJ10ER10EB10SB10
"196","+101483,72+435502,15",SUP,F,"85","22",VIN,BJ40BP30EO10ES10PE10
"197","+101491,58+436309,73",SUP,MR,"65","19",VIN,SB50EB20BJ20FX10
"198","+101491,91+436574,19",SUP,F,"85","18","90",BP40EO30PE20SE10
"199","+101497,22+445869,03",SUP,MF,"75","20",VIN,PE50BP10EO10EB20SB10
"200","+101500,98+445500,19",SUP,MR,"65","18",VIN,EB30SB30PE30BP10
"201","+101502,96+443002,50",SUP,MF,"95","19","70",ES50BJ10FI10SB20EB10
"202","+101503,39+434987,73",SUP,F,"65","20",VIN,PE70BP20ER10
"203","+101517,75+445113,03",SUP,F,"75","18","70",PE40EO30BP10EB10SB10
"204","+101532,24+442088,09",SUP,F,"65","17",JIN,ES60EO30FI10
"205","+101536,01+441074,41",SUP,R,"45","14","30",EB90SB10
"206","+101552,95+439583,49",SUP,F,"95","20","90",ES80BJ20
"207","+101565,48+441358,29",SUP,R,"85","16","30",EB80SB20
"208","+101572,53+439847,50",SUP,F,"75","20","90",ES80BJ10RX10
"209","+101572,82+437802,51",SUP,F,"65","18","90",PE40BP30FX10EB10SB10
"210","+101576,58+434736,06",SUP,F,"75","21",VIN,PE30BP20ES20EO10EB10SB10
"211","+101583,94+441655,32",SUP,F,"85","19",JIN,EO30PE30BP10ES10EB10SB10
"212","+101584,18+437495,09",SUP,F,"75","24","90",PE80BP20
"213","+101599,14+445888,78",SUP,MR,"35","22","90",EB40SB20PE30FX10
"214","+101606,30+441835,42",SUP,R,"65","17",VIN,EB40SB30TO20FX10
"215","+101628,41+438112,63",SUP,F,"65","20","90",EO30PE30ES20BP10SE10
"216","+101632,66+443677,46",SUP,F,"85","20",JIN,ES60EO20FI10SE10
"217","+101633,68+439034,49",SUP,F,"85","19",JIN,ES40BJ30EO10FI10SE10
"218","+101660,88+440058,61",SUP,F,"95","20","90",ES90BJ10
"219","+101661,24+435321,71",SUP,F,"85","24",VIN,PE50BP20ER10EB10SB10
"220","+101661,47+438671,88",SUP,MR,"65","14",JIN,SB60EB10PE20ER10
"221","+101662,62+442460,64",SUP,MR,"75","10","30",EB30SB30PE20BP10FN10
"222","+101668,77+441349,82",SUP,R,"65","14","30",EB70SB30
"223","+101689,05+439981,16",SUP,F,"95","20","90",ES90BJ10
"224","+101692,30+439593,85",SUP,F,"95","20","90",ES80BJ20
"225","+101695,07+444360,77",SUP,F,"65","17",JIN,ES50EO30BJ10SE10
"226","+101695,45+436392,12",SUP,F,"65","16",JIN,PE40BP30EO10EB10SB10
"227","+101698,70+441567,87",SUP,R,"85","16","30",EB90SB10
"228","+101701,58+442614,33",SUP,F,"95","4","10",FX100
"229","+101723,86+445469,61",SUP,R,"65","19","70",EB40SB40EN20
"230","+101737,40+441049,19",SUP,R,"85","15","30",EB90SB10
"231","+101741,29+443184,16",SUP,F,"65","20",VIN,ES40BJ30EO20RX10
"232","+101747,14+439477,52",SUP,F,"85","21","90",ES90BJ10
"233","+101747,77+444146,73",SUP,MF,"75","20","70",ES50BJ10EO10SB20EB10
"234","+101757,91+442132,22",SUP,F,"95","20",JIN,ES50BJ20EO10FI10SE10
"235","+101759,06+439878,61",SUP,F,"95","20","90",ES90BJ10
"236","+101771,28+444683,51",SUP,F,"85","14",JIN,ES70EO10FI10RX10
"237","+101773,78+436734,84",SUP,F,"85","18","90",BP40EO20BJ10ES10EB10SB10
"238","+101779,02+443705,09",SUP,F,"95","11","30",BP30PE30EO20EB10SB10
"239","+101805,85+444979,67",SUP,MF,"85","18","70",EO30ES20BP10PE10SB20EB10
"240","+101821,73+445207,39",SUP,MR,"75","19","70",SB40EB30PE20EO10
"241","+101830,63+445345,67",SUP,MF,"65","20","70",BP30PE20EO10EB20SB20
"242","+101850,24+439290,86",SUP,F,"85","21","90",ES90BJ10
"243","+101854,35+438524,16",SUP,F,"65","16",JIN,EO50PE20BP10EB10SB10
"244","+101859,94+438131,73",SUP,F,"95","4","10",FX70FN10RX20
"245","+101864,65+442339,40",SUP,MF,"85","21","70",BP30PE20EO10SB30EB10
"246","+101868,30+441660,63",SUP,F,"95","18",JIN,ES80BJ10EO10
"247","+101898,00+441117,27",SUP,R,"55","15","30",EB90SB10
"248","+101922,35+441451,51",SUP,R,"85","8","10",EB90FX10
"249","+101937,21+441690,55",SUP,R,"85","18","50",EB100
"250","+101943,02+442928,11",SUP,F,"85","20",VIN,ES80BJ20
"251","+101945,95+444740,46",SUP,R,"85","15","30",EV70SB10EO10FI10
"252","+101957,24+437198,78",SUP,F,"95","18","90",BP70EO20PE10
"253","+101978,58+441716,95",SUP,R,"85","18","50",EB100
"254","+101986,48+445232,51",SUP,F,"95","4","10",FX70FN10RX20
"255","+101997,12+436399,88",SUP,F,"65","14",JIN,PE60BP30RX10
"256","+102018,38+443216,73",SUP,R,"65","19",VIN,EB40SB30TO10BP10PE10
"257","+102019,19+438390,37",SUP,F,"95","5","10",FX70FN10RX20
"258","+102035,97+444164,94",SUP,F,"85","13",JIN,EO50BP20FN10PE10SE10
"259","+102047,64+443378,42",SUP,F,"75","23","70",PE50EO20BP10EB10SB10
"260","+102054,37+442505,78",SUP,MF,"45","16",JIN,EO60FI10SB30
"261","+102061,72+439039,71",SUP,F,"85","21","90",ES90BJ10
"262","+102062,17+443835,81",SUP,F,"95","20",JIN,ES100
"263","+102062,81+445578,35",SUP,MM,"35","18","70",EB40SB10BP20EO20PE10
"264","+102064,04+442043,48",SUP,MF,"85","19","70",PE40EO20BP10SB20EB10
"265","+102064,91+437529,51",SUP,F,"85","19","90",BP30BJ20ES20EO10PE10SE10
"266","+102072,11+438679,75",SUP,R,"75","11","30",EN90FX10
"267","+102086,15+438946,59",SUP,R,"75","17","30",SB60EB40
"268","+102091,31+436704,65",SUP,F,"85","18","90",EO50ES20FI10SB20
"269","+102099,83+439286,14",SUP,F,"95","20","90",ES80BJ20
"270","+102106,36+442748,98",SUP,F,"75","20",VIN,ES60BJ20EO10RX10
"271","+102106,85+438589,86",SUP,R,"75","11","30",EN90FX10
"272","+102121,90+444983,27",SUP,R,"65","22","90",EB50SB30TO10FI10
"273","+102122,82+441422,24",SUP,MR,"75","6","10",RZ70FX30
"274","+102132,05+438903,91",SUP,R,"75","17","30",SB60EB40
"275","+102146,68+441758,85",SUP,F,"85","16",JIN,ES40EO30FI10EB10SB10
"276","+102159,52+438834,51",SUP,R,"75","17","30",SB60EB40
"277","+102168,53+436887,53",SUP,F,"95","18","90",ES70BP30
"278","+102169,51+445712,18",SUP,F,"85","11","30",PE40BP20EO20FN10SB10
"279","+102173,71+437843,58",SUP,MF,"75","21","90",BP40FX10PE10SB20EB10TO10
"280","+102176,44+440511,65",SUP,R,"65","18","50",EB50SB20TO20FI10
"281","+102185,98+442032,04",SUP,F,"85","15","30",PE50BP20EO10SB20
"282","+102189,61+441546,23",SUP,F,"95","19","70",ES100
"283","+102214,00+445455,75",SUP,MF,"75","20","70",EO30PE20BP10EB20SB20
"284","+102221,50+442878,68",SUP,MM,"75","17",JIN,SB30EB20BP20EO20PE10
"285","+102242,53+441318,22",SUP,R,"75","16","30",EB60SB20PE20
"286","+102256,86+438201,29",SUP,F,"95","12","30",PE60BP20EO10SE10
"287","+102262,72+439580,76",SUP,F,"85","21",VIN,ES70BJ30
"288","+102280,25+442223,84",SUP,F,"85","6","30",FX70FN10RX20
"289","+102307,05+444652,50",SUP,R,"75","19",VIN,EB50TO30SB20
"290","+102314,60+443676,12",SUP,MF,"75","21","70",PE30BP20EO20SB20EB10
"291","+102318,28+440659,38",SUP,R,"85","19","50",EB100
"292","+102318,47+442030,71",SUP,R,"75","9","30",EN90FI10
"293","+102332,46+437993,74",SUP,F,"65","20","90",PE40BP30EO10EB10RX10
"294","+102339,67+443995,25",SUP,F,"95","9","30",BP30PE30EO10FN10EB10SB10
"295","+102365,33+441897,08",SUP,R,"85","14","30",EB80RX10FI10
"296","+102379,33+441097,19",SUP,R,"75","7","10",EB100
"297","+102407,68+437687,75",SUP,F,"85","24","90",BP40PE40EO10RX10
"298","+102414,31+442887,61",SUP,F,"85","20",VIN,EO50BP30ES20
"299","+102414,79+444379,55",SUP,MM,"85","20","70",EB40SB10PE40FX10
"300","+102425,58+438708,83",SUP,F,"95","20","90",ES100
"301","+102427,40+445149,58",SUP,F,"95","10","30",PE40BP20EO10FN10SB20
"302","+102428,33+443390,91",SUP,MF,"95","4","10",FX60FN10RX30
"303","+102439,49+441378,15",SUP,R,"85","15","30",EN40EV40EB20
"304","+102465,05+437252,19",SUP,F,"85","19","90",BP40EO20ES10PE10EB10SB10
"305","+102472,51+436445,91",SUP,F,"75","17","90",PE60BP20FT10RX10
"306","+102477,50+436813,75",SUP,F,"85","18","90",ES50EO20FI10EB10SB10
"307","+102481,40+442282,83",SUP,F,"55","16","70",BP30EO30ES20PE10SE10
"308","+102488,95+442115,78",SUP,F,"75","5","10",FX90RX10
"309","+102492,67+443646,43",SUP,R,"85","15","30",EV90RX10
"310","+102507,52+440290,06",SUP,MR,"85","18",VIN,SB40EB20BJ10EO10ES10FI10
"311","+102515,10+437203,29",SUP,F,"85","18","90",EO50ES30FI10SE10
"312","+102515,80+443962,97",SUP,R,"85","15","30",EB80SB10FI10
"313","+102517,27+439128,85",SUP,R,"85","15","50",EB80SB20
"314","+102517,88+438225,54",SUP,F,"65","16",JIN,EO40PE20BP10ES10EB10SB10
"315","+102525,81+438556,58",SUP,R,"85","18","30",SB70EB30
"316","+102534,75+439848,35",SUP,MR,"75","19",VIN,EB40SB30EO20FI10
"317","+102549,54+442499,60",SUP,F,"85","22","70",PE50BP20EO10RX10SB10
"318","+102558,47+443759,47",SUP,MF,"75","17","70",EO30PE20BP10SB30EB10
"319","+102578,22+442722,85",SUP,F,"85","20",VIN,EO40BJ20ES20FI10SE10
"320","+102585,19+442891,79",SUP,F,"95","20",VIN,ES90EO10
"321","+102600,14+445752,50",SUP,MR,"75","11","30",SB50EB10PE30BP10
"322","+102628,35+439186,76",SUP,R,"85","15","50",EB80SB20
"323","+102628,76+441611,80",SUP,R,"65","15","30",EB100
"324","+102638,17+439104,31",SUP,R,"85","15","50",EB80SB20
"325","+102638,36+441413,74",SUP,R,"65","18","30",EB70EV30
"326","+102642,35+444200,11",SUP,R,"75","18","70",EB80SB10FI10
"327","+102645,34+444773,52",SUP,R,"75","17","30",EB90SB10
"328","+102654,96+443022,98",SUP,F,"95","4","10",FX70FN10RX20
"329","+102677,54+437285,45",SUP,F,"85","18","90",EO60ES30FX10
"330","+102687,96+439718,06",SUP,F,"95","20",JIN,BJ50ES40SE10
"331","+102707,31+442103,96",SUP,MR,"75","15","30",PG60RX10PE20BP10
"332","+102710,97+440835,52",SUP,R,"75","17","50",EB100
"333","+102719,15+444947,79",SUP,R,"45","6","10",RX90FX10
"334","+102731,02+441669,44",SUP,R,"75","22","30",EB100
"335","+102732,66+438582,21",SUP,F,"75","20","90",ES80BJ20
"336","+102735,95+444453,79",SUP,R,,"3","10",RZRX
"337","+102744,98+438253,64",SUP,F,"75","20","90",PE40BP20BJ10ER10EB10SB10
"338","+102745,27+438876,77",SUP,F,"75","20","90",ES80BJ20
"339","+102747,49+439512,68",SUP,F,"85","21",VIN,BJ40ES30EO10EB10SB10
"340","+102750,66+440971,29",SUP,MR,"45","5","10",RX60FX40
"341","+102755,72+436549,88",SUP,F,"75","17","90",PE60BP20FT10RX10
"342","+102757,65+439189,17",SUP,R,"85","15","50",EB80SB20
"343","+102759,34+442343,43",SUP,MR,"85","16","30",PG50SB10PE30EO10
"344","+102772,30+437750,49",SUP,F,"85","22","70",BJ30BP20EO20PE10EB10SB10
"345","+102775,12+444210,14",SUP,R,"85","15","30",EB90SB10
"346","+102791,29+443733,68",SUP,R,"65","15","30",EB70EV20FI10
"347","+102792,46+440014,68",SUP,F,"95","20",VIN,ES40BJ20EO10FI10EB10SB10
"348","+102806,58+443437,29",SUP,R,"65","18","70",SB50EB30TO10FI10
"349","+102807,29+440297,74",SUP,R,"75","13","30",SB70EB20FI10
"350","+102819,83+439071,60",SUP,R,"85","15","50",EB80SB20
"351","+102837,65+437470,37",SUP,F,"85","21","90",BP80EO10PE10
"352","+102853,48+444859,96",SUP,R,"75","17","70",SB70EB20FX10
